Date,1st Service,2nd Service,third xmas,single service,Services,Day of Week,Secular Holiday,Religious Holiday,Alternate Pastor,Church Event,Weather Event,Precipitation,Snow,SnowDepth,DougCtySchoolOut
3/21/18,46,,,Pre,1,4,0,1,0,0,0,,,,1
3/25/18,85,139,,Pre,2,1,0,0,0,0,0,,,,0
3/29/18,65,,,Pre,1,5,0,1,0,0,0,0.18,1,1,0
3/30/18,127,,,Pre,1,6,0,1,0,0,0,,,,0
4/1/18,176,94,,Pre,2,1,0,1,0,0,0,0,0,0,0
4/8/18,84,45,,Pre,2,1,0,0,0,0,0,0,0,0,0
4/15/18,54,85,,Pre,2,1,0,0,0,0,0,0,0,0,0
4/22/18,94,69,,Pre,2,1,0,0,0,0,0,0.1,0.4,0,0
4/29/18,67,85,,Pre,2,1,0,0,0,0,0,0,0,0,0
5/6/18,60,58,,Pre,2,1,0,0,0,0,0,0,0,0,0
5/10/18,39,,,Pre,1,5,0,1,0,0,0,0,0,0,0
5/13/18,79,62,,Pre,2,1,0,0,0,0,0,0,0,0,0
5/20/18,56,43,,Pre,2,1,0,1,0,0,0,0,0,0,0
5/27/18,80,62,,Pre,2,1,1,1,0,0,0,0,0,0,1
6/3/18,71,46,,Pre,2,1,0,0,0,0,0,0,0,0,1
6/10/18,64,52,,Pre,2,1,0,0,0,0,0,0,0,0,1
6/17/18,75,80,,Pre,2,1,1,0,0,0,0,0.03,0,0,1
6/24/18,46,65,,Pre,2,1,0,0,0,0,0,0,0,0,1
7/1/18,81,50,,Pre,2,1,0,0,0,0,0,0,0,0,1
7/8/18,69,54,,Pre,2,1,0,0,0,0,0,0,0,0,1
7/15/18,50,53,,Pre,2,1,0,0,1,0,0,0,0,0,1
7/22/18,65,59,,Pre,2,1,0,0,1,0,0,0,0,0,1
7/29/18,71,47,,Pre,2,1,0,0,0,0,0,0,0,0,1
8/5/18,90,33,,Pre,2,1,0,0,0,0,0,,,,1
8/12/18,83,68,,Pre,2,1,0,0,0,0,0,,,,0
8/19/18,59,81,,Pre,2,1,0,0,0,0,0,,,,0
8/26/18,77,60,,Pre,2,1,0,0,0,0,0,,,,0
9/2/18,61,50,,Pre,2,1,1,0,0,0,0,,,,0
9/9/18,88,94,,Pre,2,1,0,0,0,1,0,,,,0
9/16/18,61,79,,Pre,2,1,0,0,0,0,0,,,,0
9/23/18,70,69,,Pre,2,1,0,0,0,0,0,,,,0
9/30/18,81,56,,Pre,2,1,0,0,0,0,0,,,,0
10/7/18,68,65,,Pre,2,1,0,0,0,0,0,,,,1
10/14/18,49,80,,Pre,2,1,0,0,0,0,1,0.03,0.2,0,0
10/21/18,82,65,,Pre,2,1,0,0,0,0,0,,,,0
10/28/18,67,134,,Pre,2,1,0,1,0,1,0,,,,0
11/4/18,97,70,,Pre,2,1,0,0,0,0,0,,,,0
11/11/18,64,66,,Pre,2,1,0,0,0,0,0,0.03,0.4,0.5,0
11/18/18,60,82,,Pre,2,1,0,0,0,0,0,,,,1
11/21/18,62,,,Pre,1,4,1,0,0,0,0,,,,1
11/25/18,60,75,,Pre,2,1,0,0,0,0,0,0.12,1.4,1,0
12/2/18,80,70,,Pre,2,1,0,0,0,0,0,,,,0
